1,LEASED,14.3905,,,,,,,,0,,,,,,0,,,,,0,
2,LEASED,382.9379,,,,,,,,0,,,,,,0,,,,,0,
4,LEASED/UNPLANTED,41.7605,,29.49,,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,,,0,,,,,,0,,,,,0,
5,UNPLANTED,,,13,,DELETED THIRD GROUP,,,,0,,,,,,0,,,,,0,
6,LEASED,1.5,,,,AGREE WITH DARBC & DOLE,,,,0,,,,,,0,,,,,0,
7,LEASED,5.7272,,,,,,3.3212,,3.3212,,,,,,0,,,,,0,
8,LEASED,1.9172,,,ORDER OF FINALITY IN FAVOR OF PREVIOUS OWNER,LOSS IN CASE,,,,0,,,,,,0,,,,,0,
9,LEASED,8.0005,,,,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,5.4404,,5.4404,,,,,,0,,,,,0,
10,LEASED,11.7186,,,,,,,,0,,,,,,0,,,,,0,
11,LEASED/UNPLANTED,26.8461,,41.7479,,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,,,0,,,,,,0,,,,,0,
12,,3.5828,,,ORDER OF FINALITY IN FAVOR OF PREVIOUS OWNER,LOSS IN CASE,,,,0,,,,,,0,,,,,0,
13,LEASED,3.6,,,,DEED OF SALE (ALFREDO RADAZA-NDC) ORIGINAL CERTIFICATE TITLE P-21334 5 HA. IN DEED OF SALE AND 3.6HA IN DEED OF AWARD AND TRANSFER 1.4 HA LEASED CONTRACT TO DOLEFIL BETWEEN RADAZA.,,,,0,,,,,,0,,,,,0,
14,LEASED,15.6232,,,,,,,,0,,,,,,0,,,,,0,
15,LEASED,10.6291,,,,,,,,0,,,,,,0,,,,,0,
16,LEASED,21.9782,,,,,,21.9782,,21.9782,,,,,,0,,,,,0,
17,LEASED,9.1607,,,,,,5.7151,1.0255,6.7406,,,309B,1.3947,1.0255,2.4202,,,,,0,
18,LEASED,11.6739,,,,,,,,0,,,,,,0,,,,,0,
19,UNPLANTED,,,4.1558,,DELETED SECOND GROUP,,,,0,,,,,,0,,,,,0,
20,GROWERS/ LEASED,5.6519,6,,FLD 109 & 403 (TURNED OVER FOR GROWERSHIP),,,6,,6,,,,,,0,,,,,0,
21,UNPLANTED,12.0189,,5.9811,,DELETED THIRD GROUP,,,,0,,,,,,0,,,,,0,
22,LEASED,12.0695,,,,,,,,0,,,,,,0,,,,,0,
23,UNPLANTED,7.9369,,,,DELETED THIRD GROUP,,,,0,,,,,,0,,,,,0,
24,LEASED,4.7739,,,,,,,,0,,,,,,0,,,,,0,
25,LEASED,1.0455,,,,,,,,0,,,,,,0,,,,,0,
26,LEASED,5,,,,ALI CASE: 1202-0090-2019,,,,0,,,,,,0,,,,,0,
27,LEASED,19.0271,,,,,,,,0,,,,,,0,,,,,0,
28,LEASED,9.7087,,,,,,8.19,1.5187,9.7087,,,,,,0,,,,,0,
29,LEASED,12.0849,,,,,,,,0,,,,,,0,,,,,0,
30,LEASED,5,,,,,,,,0,,,,,,0,,,,,0,
31,LEASED,11.3774,,,,,,4.9987,0.5134,5.5121,,,309B,5.3519,0.5134,5.8653,,,,,0,
32,LEASED,10.7625,,,,,,,,0,,,,,,0,,,,,0,
33,GROWERS,,12.3583,,FLD 109 & 403 (TURNED OVER FOR GROWERSHIP),,,12.3583,,12.3583,,,,,,0,,,,,0,
34,LEASED,9.3879,,,,,,6.38,2.7079,9.0879,,,,,,0,,,,,0,
35,LEASED,4.8283,,,,,,4.8283,,4.8283,,,,,,0,,,,,0,
36,LEASED,11.5681,,,,,,,,0,,,,,,0,,,,,0,
37,LEASED,4.8689,,,,,,,,0,,,,,,0,,,,,0,
38,GROWERS,,12.4379,,FLD 109 & 403 (TURNED OVER FOR GROWERSHIP),,,12.4379,,12.4379,,,,,,0,,,,,0,
39,LEASED,12.2462,,,,,,,,0,,,,,,0,,,,,0,
40,LEASED,4.9651,,,,,,,,0,,,,,,0,,,,,0,
41,LEASED,22,,,,,,,,0,,,,,,0,,,,,0,
42,GROWERS,,12.4261,,FLD 109 & 403 (TURNED OVER FOR GROWERSHIP),,,12.4261,,12.4261,,,,,,0,,,,,0,
43,LEASED,19.1588,,,,,,18.49,0.6688,19.1588,,,,,,0,,,,,0,
44,COMPROMISE AGREEMENT,,,11.6909,"COMPROMISE AGREEMENT WITH B'LAAN (DARAB CASE 4629 IMBA Clan vs. DARBCI Nov. 10, 1997)",11.6908.90 PER TITLE,,,,0,,,,,,0,,,,,0,
45,LEASED,11.5222,,,,,,11.5222,,11.5222,,,,,,0,,,,,0,
46,LEASED/UNPLANTED,0.86,,4.3209,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,,,,0,,,,,,0,,,,,0,
47,LEASED,12,,,WATERWAY,,,,,0,,,,,,0,,,,,0,
48,LEASED,6.8829,,,,,,5.66,1.2229,6.8829,,,,,,0,,,,,0,
49,COMPROMISE AGREEMENT,,,10.7743,COMPROMISE AGREEMENT WITH B'LAAN,,,,,0,,,,,,0,,,,,0,
50,LEASED,4.5976,,,,,,,,0,,,,,,0,,,,,0,
51,LEASED/UNPLANTED,0.2982,,4.702,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,,,,0,,,,,,0,,,,,0,
52,GROWERS/ LEASED,0.9476,6,,AREAS TURNED OVER FOR GROWERSHIP (FLD 402 ABC),,,6.9004,0.0472,6.9476,,,,,,0,,,,,0,
53,LEASED,4.0835,6,,,,,,,0,,,,,,0,,,,,0,
54,COMPROMISE AGREEMENT,,,10.9685,COMPROMISE AGREEMENT WITH B'LAAN,,,,,0,,,,,,0,,,,,0,
55,UNPLANTED,,,10.8891,DELETED SECOND GROUP,,,,,0,,,,,,0,,,,,0,
56,LEASED,4.8007,,,,,,,,0,,,,,,0,,,,,0,
57,LEASED,7.3342,,,,,,7.3342,,7.3342,,,,,,0,,,,,0,
58,LEASED,4.8054,,,,,,,,0,,,,,,0,,,,,0,
59,GROWERS,,,,,,,12.5799,,12.5799,,,,,,0,,,,,0,
60,GROWERS,,,,,,,12.6478,,12.6478,,,,,,0,,,,,0,
61,LEASED,,,,,,,4.6853,,4.6853,,,,,,0,,,,,0,
62,GROWERS,,,,,,,12.9752,,12.9752,,,,,,0,,,,,0,
63,LEASED,11.2736,,,,,,,,0,,,,,,0,,,,,0,
64,LEASED,,,,,,,3.1025,0.4274,3.5299,,,309B,4.2515,0.4274,4.6789,,,,,0,
65,GROWERS,,,,,,,11.8021,,11.8021,,,,,,0,,,,,0,
66,LEASED,11.2091,,,,,,,,0,,,,,,0,,,,,0,
67,LEASED,6.0146,,,,,,,,0,,,,,,0,,,,,0,
68,GROWERS,,,,,,,11.7268,,11.7268,,,,,,0,,,,,0,
69,LEASED,4.1799,,,,,,,,0,,,,,,0,,,,,0,
70,GROWERS,,,,,,,11.8494,,11.8494,,,,,,0,,,,,0,
71,LEASED,4.987,,,,,,,,0,,,,,,0,,,,,0,
72,LEASED,12,,,,,,,,0,,,,,,0,,,,,0,
73,LEASED,10.8516,,,,,,,,0,,,,,,0,,,,,0,
74,LEASED/UNPLANTED,0.56,,3.3078,,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,,,0,,,,,,0,,,,,0,
75,LEASED,4.0001,,,,,,,,0,,,,,,0,,,,,0,
76,LEASED,,,,,,,,,0,,,,,,0,,,,,0,
77,LEASED,,,,,,,,,0,,,,,,0,,,,,0,
78,UNPLANTED,,,4.1145,,"UNPLANTED AGREED WITH DAR, DARBC & DOLE",,,,0,,,,,,0,,,,,0,
79,LEASED,3.8129,,,,,,,,0,,,,,,0,,,,,0,
80,LEASED,12,,,,,,,,0,,,,,,0,,,,,0,
81,LEASED,5.47,,,"TITLED TO GOYOMON GALCAN, DECIDED IN HIS FAVOR",LOSS IN CASE,,,,0,,,,,,0,,,,,0,
